ad_finncode,ad_year,ad_km,ad_price,ad_title
336724711,2011,94370,45000,"Opel Astra 1,4TURBO-140HK-AUTOMAT-LAV KM- REP.OBJEKT"
335498235,2022,7500,399900,Opel Astra 180 hk PHEV GS-Line
334640383,2013,119000,89000,Opel Astra STV CDTI 1.7 Sport Tourer |Delskinn|Navi|R.Kam|DAB+/H.F
332813479,2011,157000,51345,Opel Astra ASTRA 1.7-110 D
332571321,2022,12500,399000,Opel Astra GS-Line Hybrid. Tilhengerfeste. AGR. Navi HIFI
331686618,2022,11449,349000,Opel Astra PHEV 180HK GS Line Aut. WLTP 67 km. Demobil
329019313,2022,27400,359000,Opel Astra Hybrid 180Hk GS-Line
328748699,2022,23000,389900,Opel Astra 180hk Hybrid GS-Line m/ACC/AGR/Nappa/Massasje/360++
327049722,2008,148600,39900,Opel Astra EU 2026 // HISTORIKK // DAB // KROK // SE PRIS !! +++
325763958,2014,141700,69000,"Opel Astra 1,4/101hk/Manuell/Cruise/Krok/DAB/Isofix/P-sensor/++"
323787269,2000,185000,44900,Opel Astra -G-COUPE Bertone
323571796,2011,100900,49900,"Opel Astra 1,6  Cosmo Hengerfeste / Cruisekontroll"
297008108,2022,29556,349000,Opel Astra Hybrid 180hk GS Line Navi/HUD/ACC/H.feste/360 Kamera
319650299,2011,169000,39900,"Opel Astra 1,7 110 HK CDTI EU-GODKJ TIL JAN 2025, 6 MND GARANTI"
317784330,2007,154555,38000,Opel Astra CABRIO-SKINN-AC++ NEDSATT HØSTPRIS!!!
315172099,2022,13200,439000,"Opel Astra Hybrid 180hk GS Line H.feste, Topp utstyrt, Lav km.!"
314037091,2012,157400,89845,"Opel Astra GTC Coupe 1,4 Turbo 140 hk"
310930620,2013,253500,39990,"Opel Astra 1,7 TDI-110HK/CruiseControll/Navi/Dab/ServiceH."
303387028,2010,124000,69000,Opel Astra 1.6. 116HK SPORT 5 TRINN-DAB+-ISOFIX MEGET LAV KM124000
299707430,2006,222000,15000,"Opel Astra 1.9 D-120HJK- AUTOMAT, DELSKINN."
292274188,2023,5000,399900,Opel Astra Hybrid 180hk GS
289113866,2022,2900,389000,Opel Astra GS Line Plug in Hybrid
275745631,2007,142000,69900,"Opel Astra 1.8 Irmscher utgave,El Cab,Skinn++"
222129604,2020,54300,269000,"Opel Astra Sports Tourer 1,4T 145hk First Edition aut Matrix-LED"
79020213,1992,200200,99000,Opel Astra F  GSI 16V 3 DØR 5 GEAR TAKLUKE
